Threshold: 0.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 0.05 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: 0.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.91 ,cohen scores: 0.00 
Threshold: 0.15 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.49 ,mcc scores: 0.00 ,roc-auc scores: 0.90 ,cohen scores: 0.00 
Threshold: 0.20 ,Senstivity: 1.00 ,Specificity: 0.05 ,Accuracy: 0.51 ,mcc scores: 0.16 ,roc-auc scores: 0.91 ,cohen scores: 0.05 
Threshold: 0.25 ,Senstivity: 0.97 ,Specificity: 0.24 ,Accuracy: 0.60 ,mcc scores: 0.31 ,roc-auc scores: 0.92 ,cohen scores: 0.21 
Threshold: 0.30 ,Senstivity: 0.94 ,Specificity: 0.30 ,Accuracy: 0.61 ,mcc scores: 0.31 ,roc-auc scores: 0.90 ,cohen scores: 0.24 
Threshold: 0.35 ,Senstivity: 0.94 ,Specificity: 0.46 ,Accuracy: 0.69 ,mcc scores: 0.46 ,roc-auc scores: 0.89 ,cohen scores: 0.40 
Threshold: 0.40 ,Senstivity: 0.94 ,Specificity: 0.73 ,Accuracy: 0.83 ,mcc scores: 0.69 ,roc-auc scores: 0.91 ,cohen scores: 0.67 
Threshold: 0.45 ,Senstivity: 0.91 ,Specificity: 0.68 ,Accuracy: 0.79 ,mcc scores: 0.60 ,roc-auc scores: 0.92 ,cohen scores: 0.59 
Threshold: 0.50 ,Senstivity: 0.89 ,Specificity: 0.84 ,Accuracy: 0.86 ,mcc scores: 0.72 ,roc-auc scores: 0.92 ,cohen scores: 0.72 
Threshold: 0.55 ,Senstivity: 0.91 ,Specificity: 0.84 ,Accuracy: 0.88 ,mcc scores: 0.75 ,roc-auc scores: 0.92 ,cohen scores: 0.75 
Threshold: 0.60 ,Senstivity: 0.83 ,Specificity: 0.89 ,Accuracy: 0.86 ,mcc scores: 0.72 ,roc-auc scores: 0.89 ,cohen scores: 0.72 
Threshold: 0.65 ,Senstivity: 0.77 ,Specificity: 0.95 ,Accuracy: 0.86 ,mcc scores: 0.73 ,roc-auc scores: 0.94 ,cohen scores: 0.72 
Threshold: 0.70 ,Senstivity: 0.69 ,Specificity: 0.95 ,Accuracy: 0.82 ,mcc scores: 0.66 ,roc-auc scores: 0.94 ,cohen scores: 0.64 
Threshold: 0.75 ,Senstivity: 0.57 ,Specificity: 0.95 ,Accuracy: 0.76 ,mcc scores: 0.56 ,roc-auc scores: 0.90 ,cohen scores: 0.52 
Threshold: 0.80 ,Senstivity: 0.54 ,Specificity: 1.00 ,Accuracy: 0.78 ,mcc scores: 0.62 ,roc-auc scores: 0.92 ,cohen scores: 0.55 
Threshold: 0.85 ,Senstivity: 0.34 ,Specificity: 1.00 ,Accuracy: 0.68 ,mcc scores: 0.46 ,roc-auc scores: 0.94 ,cohen scores: 0.35 
Threshold: 0.90 ,Senstivity: 0.29 ,Specificity: 1.00 ,Accuracy: 0.65 ,mcc scores: 0.41 ,roc-auc scores: 0.93 ,cohen scores: 0.29 
Threshold: 0.95 ,Senstivity: 0.14 ,Specificity: 1.00 ,Accuracy: 0.58 ,mcc scores: 0.28 ,roc-auc scores: 0.90 ,cohen scores: 0.15 
