Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.47 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: -1.00 ,Senstivity: 0.94 ,Specificity: 0.03 ,Accuracy: 0.45 ,mcc scores: -0.08 ,roc-auc scores: 0.69 ,cohen scores: -0.03 
Threshold: -0.90 ,Senstivity: 0.94 ,Specificity: 0.07 ,Accuracy: 0.48 ,mcc scores: 0.04 ,roc-auc scores: 0.69 ,cohen scores: 0.02 
Threshold: -0.80 ,Senstivity: 0.94 ,Specificity: 0.07 ,Accuracy: 0.48 ,mcc scores: 0.04 ,roc-auc scores: 0.69 ,cohen scores: 0.02 
Threshold: -0.70 ,Senstivity: 0.91 ,Specificity: 0.07 ,Accuracy: 0.47 ,mcc scores: -0.02 ,roc-auc scores: 0.69 ,cohen scores: -0.01 
Threshold: -0.60 ,Senstivity: 0.89 ,Specificity: 0.15 ,Accuracy: 0.49 ,mcc scores: 0.05 ,roc-auc scores: 0.69 ,cohen scores: 0.03 
Threshold: -0.50 ,Senstivity: 0.89 ,Specificity: 0.17 ,Accuracy: 0.51 ,mcc scores: 0.09 ,roc-auc scores: 0.69 ,cohen scores: 0.06 
Threshold: -0.40 ,Senstivity: 0.89 ,Specificity: 0.25 ,Accuracy: 0.55 ,mcc scores: 0.17 ,roc-auc scores: 0.69 ,cohen scores: 0.13 
Threshold: -0.30 ,Senstivity: 0.77 ,Specificity: 0.38 ,Accuracy: 0.56 ,mcc scores: 0.16 ,roc-auc scores: 0.69 ,cohen scores: 0.14 
Threshold: -0.20 ,Senstivity: 0.71 ,Specificity: 0.47 ,Accuracy: 0.59 ,mcc scores: 0.19 ,roc-auc scores: 0.69 ,cohen scores: 0.19 
Threshold: -0.10 ,Senstivity: 0.66 ,Specificity: 0.57 ,Accuracy: 0.61 ,mcc scores: 0.23 ,roc-auc scores: 0.69 ,cohen scores: 0.23 
Threshold: 0.00 ,Senstivity: 0.63 ,Specificity: 0.62 ,Accuracy: 0.63 ,mcc scores: 0.25 ,roc-auc scores: 0.69 ,cohen scores: 0.25 
Threshold: 0.10 ,Senstivity: 0.57 ,Specificity: 0.68 ,Accuracy: 0.63 ,mcc scores: 0.25 ,roc-auc scores: 0.69 ,cohen scores: 0.25 
Threshold: 0.20 ,Senstivity: 0.51 ,Specificity: 0.80 ,Accuracy: 0.67 ,mcc scores: 0.33 ,roc-auc scores: 0.69 ,cohen scores: 0.32 
Threshold: 0.30 ,Senstivity: 0.49 ,Specificity: 0.85 ,Accuracy: 0.68 ,mcc scores: 0.36 ,roc-auc scores: 0.69 ,cohen scores: 0.34 
Threshold: 0.40 ,Senstivity: 0.43 ,Specificity: 0.90 ,Accuracy: 0.68 ,mcc scores: 0.38 ,roc-auc scores: 0.69 ,cohen scores: 0.34 
Threshold: 0.50 ,Senstivity: 0.40 ,Specificity: 0.90 ,Accuracy: 0.67 ,mcc scores: 0.35 ,roc-auc scores: 0.69 ,cohen scores: 0.31 
Threshold: 0.60 ,Senstivity: 0.37 ,Specificity: 0.93 ,Accuracy: 0.67 ,mcc scores: 0.36 ,roc-auc scores: 0.69 ,cohen scores: 0.31 
Threshold: 0.70 ,Senstivity: 0.37 ,Specificity: 0.93 ,Accuracy: 0.67 ,mcc scores: 0.36 ,roc-auc scores: 0.69 ,cohen scores: 0.31 
Threshold: 0.80 ,Senstivity: 0.31 ,Specificity: 0.93 ,Accuracy: 0.64 ,mcc scores: 0.31 ,roc-auc scores: 0.69 ,cohen scores: 0.25 
Threshold: 0.90 ,Senstivity: 0.29 ,Specificity: 1.00 ,Accuracy: 0.67 ,mcc scores: 0.42 ,roc-auc scores: 0.69 ,cohen scores: 0.30 
Threshold: 1.00 ,Senstivity: 0.20 ,Specificity: 1.00 ,Accuracy: 0.63 ,mcc scores: 0.34 ,roc-auc scores: 0.69 ,cohen scores: 0.21 
Threshold: 1.10 ,Senstivity: 0.06 ,Specificity: 1.00 ,Accuracy: 0.56 ,mcc scores: 0.18 ,roc-auc scores: 0.69 ,cohen scores: 0.06 
Threshold: 1.20 ,Senstivity: 0.06 ,Specificity: 1.00 ,Accuracy: 0.56 ,mcc scores: 0.18 ,roc-auc scores: 0.69 ,cohen scores: 0.06 
Threshold: 1.30 ,Senstivity: 0.03 ,Specificity: 1.00 ,Accuracy: 0.55 ,mcc scores: 0.12 ,roc-auc scores: 0.69 ,cohen scores: 0.03 
Threshold: 1.40 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 1.50 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 1.60 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 1.70 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 1.80 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 1.90 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 2.00 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 2.10 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 2.20 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
Threshold: 2.30 ,Senstivity: 0.00 ,Specificity: 1.00 ,Accuracy: 0.53 ,mcc scores: 0.00 ,roc-auc scores: 0.69 ,cohen scores: 0.00 
