Threshold: -3.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -2.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -2.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -2.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -2.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -2.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -2.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -2.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -2.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -2.10 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -2.00 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -1.90 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -1.80 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -1.70 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -1.60 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -1.50 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -1.40 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -1.30 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -1.20 ,Senstivity: 1.00 ,Specificity: 0.00 ,Accuracy: 0.51 ,mcc scores: 0.00 ,roc-auc scores: 0.93 ,cohen scores: 0.00 
Threshold: -1.10 ,Senstivity: 1.00 ,Specificity: 0.03 ,Accuracy: 0.53 ,mcc scores: 0.13 ,roc-auc scores: 0.93 ,cohen scores: 0.04 
Threshold: -1.00 ,Senstivity: 1.00 ,Specificity: 0.07 ,Accuracy: 0.54 ,mcc scores: 0.19 ,roc-auc scores: 0.93 ,cohen scores: 0.07 
Threshold: -0.90 ,Senstivity: 1.00 ,Specificity: 0.14 ,Accuracy: 0.58 ,mcc scores: 0.27 ,roc-auc scores: 0.93 ,cohen scores: 0.14 
Threshold: -0.80 ,Senstivity: 1.00 ,Specificity: 0.31 ,Accuracy: 0.66 ,mcc scores: 0.43 ,roc-auc scores: 0.93 ,cohen scores: 0.31 
Threshold: -0.70 ,Senstivity: 1.00 ,Specificity: 0.34 ,Accuracy: 0.68 ,mcc scores: 0.46 ,roc-auc scores: 0.93 ,cohen scores: 0.35 
Threshold: -0.60 ,Senstivity: 1.00 ,Specificity: 0.55 ,Accuracy: 0.78 ,mcc scores: 0.62 ,roc-auc scores: 0.93 ,cohen scores: 0.56 
Threshold: -0.50 ,Senstivity: 0.90 ,Specificity: 0.72 ,Accuracy: 0.81 ,mcc scores: 0.64 ,roc-auc scores: 0.93 ,cohen scores: 0.63 
Threshold: -0.40 ,Senstivity: 0.80 ,Specificity: 0.90 ,Accuracy: 0.85 ,mcc scores: 0.70 ,roc-auc scores: 0.93 ,cohen scores: 0.70 
Threshold: -0.30 ,Senstivity: 0.73 ,Specificity: 0.93 ,Accuracy: 0.83 ,mcc scores: 0.68 ,roc-auc scores: 0.93 ,cohen scores: 0.66 
Threshold: -0.20 ,Senstivity: 0.70 ,Specificity: 0.97 ,Accuracy: 0.83 ,mcc scores: 0.69 ,roc-auc scores: 0.93 ,cohen scores: 0.66 
Threshold: -0.10 ,Senstivity: 0.63 ,Specificity: 0.97 ,Accuracy: 0.80 ,mcc scores: 0.63 ,roc-auc scores: 0.93 ,cohen scores: 0.60 
Threshold: 0.00 ,Senstivity: 0.50 ,Specificity: 0.97 ,Accuracy: 0.73 ,mcc scores: 0.52 ,roc-auc scores: 0.93 ,cohen scores: 0.46 
Threshold: 0.10 ,Senstivity: 0.50 ,Specificity: 1.00 ,Accuracy: 0.75 ,mcc scores: 0.57 ,roc-auc scores: 0.93 ,cohen scores: 0.50 
Threshold: 0.20 ,Senstivity: 0.43 ,Specificity: 1.00 ,Accuracy: 0.71 ,mcc scores: 0.52 ,roc-auc scores: 0.93 ,cohen scores: 0.43 
Threshold: 0.30 ,Senstivity: 0.37 ,Specificity: 1.00 ,Accuracy: 0.68 ,mcc scores: 0.47 ,roc-auc scores: 0.93 ,cohen scores: 0.36 
